n,scenario,spp,value
29,scenario3_alt,dblr,168545
29,scenario3_alt,shore,171639
29,scenario3_alt,cicon,212610
29,scenario3_alt,crane,45988
29,scenario3_alt,geese,39312
29,scenario3_alt,TOTAL,295720
30,baseline,dblr,85777
30,baseline,shore,162140
30,baseline,cicon,223859
30,baseline,crane,37540
30,baseline,geese,2514
30,baseline,TOTAL,262894
30,scenario1,dblr,130347
30,scenario1,shore,201347
30,scenario1,cicon,261358
30,scenario1,crane,39243
30,scenario1,geese,2394
30,scenario1,TOTAL,304920
30,scenario2_alt,dblr,79769
30,scenario2_alt,shore,155434
30,scenario2_alt,cicon,223830
30,scenario2_alt,crane,42817
30,scenario2_alt,geese,5314
30,scenario2_alt,TOTAL,260520
30,scenario3_alt,dblr,123368
30,scenario3_alt,shore,195387
30,scenario3_alt,cicon,263211
30,scenario3_alt,crane,43665
30,scenario3_alt,geese,5077
30,scenario3_alt,TOTAL,301378
31,baseline,dblr,81334
31,baseline,shore,151809
31,baseline,cicon,259880
31,baseline,crane,50027
31,baseline,geese,55813
31,baseline,TOTAL,314765
31,scenario1,dblr,119285
31,scenario1,shore,186435
31,scenario1,cicon,308356
31,scenario1,crane,52670
31,scenario1,geese,57706
31,scenario1,TOTAL,362602
31,scenario2_alt,dblr,77817
31,scenario2_alt,shore,144409
31,scenario2_alt,cicon,248168
31,scenario2_alt,crane,51559
31,scenario2_alt,geese,91655
31,scenario2_alt,TOTAL,311517
31,scenario3_alt,dblr,115623
31,scenario3_alt,shore,180407
31,scenario3_alt,cicon,297073
31,scenario3_alt,crane,54250
31,scenario3_alt,geese,105095
31,scenario3_alt,TOTAL,360112
32,baseline,dblr,73249
32,baseline,shore,139930
32,baseline,cicon,148968
32,baseline,crane,50687
32,baseline,geese,19357
32,baseline,TOTAL,218678
32,scenario1,dblr,113329
32,scenario1,shore,178204
32,scenario1,cicon,178988
32,scenario1,crane,53328
32,scenario1,geese,19165
32,scenario1,TOTAL,259264
32,scenario2_alt,dblr,69032
32,scenario2_alt,shore,139832
32,scenario2_alt,cicon,137410
32,scenario2_alt,crane,52778
32,scenario2_alt,geese,33189
32,scenario2_alt,TOTAL,211681
32,scenario3_alt,dblr,111040
32,scenario3_alt,shore,177725
32,scenario3_alt,cicon,170719
32,scenario3_alt,crane,55265
32,scenario3_alt,geese,37739
32,scenario3_alt,TOTAL,255846
33,baseline,dblr,88715
33,baseline,shore,140312
33,baseline,cicon,221452
33,baseline,crane,38015
33,baseline,geese,16952
33,baseline,TOTAL,255836
33,scenario1,dblr,133255
33,scenario1,shore,176989
33,scenario1,cicon,278381
33,scenario1,crane,37241
33,scenario1,geese,16916
33,scenario1,TOTAL,308817
33,scenario2_alt,dblr,83801
33,scenario2_alt,shore,136726
33,scenario2_alt,cicon,214409
33,scenario2_alt,crane,42320
33,scenario2_alt,geese,23631
33,scenario2_alt,TOTAL,248019
33,scenario3_alt,dblr,127339
33,scenario3_alt,shore,173977
33,scenario3_alt,cicon,274670
33,scenario3_alt,crane,42261
33,scenario3_alt,geese,23105
33,scenario3_alt,TOTAL,304070
34,baseline,dblr,96444
34,baseline,shore,170049
34,baseline,cicon,242355
34,baseline,crane,47561
34,baseline,geese,69585
34,baseline,TOTAL,287772
34,scenario1,dblr,141794
34,scenario1,shore,203684
34,scenario1,cicon,273363
34,scenario1,crane,48179
34,scenario1,geese,74267
34,scenario1,TOTAL,319074
34,scenario2_alt,dblr,91573
34,scenario2_alt,shore,171667
34,scenario2_alt,cicon,228533
34,scenario2_alt,crane,48525
34,scenario2_alt,geese,101070
34,scenario2_alt,TOTAL,280653
34,scenario3_alt,dblr,135696
34,scenario3_alt,shore,205565
34,scenario3_alt,cicon,260407
34,scenario3_alt,crane,49405
34,scenario3_alt,geese,118003
34,scenario3_alt,TOTAL,311339
35,baseline,dblr,84099
35,baseline,shore,171921
35,baseline,cicon,130773
35,baseline,crane,47291
35,baseline,geese,5240
35,baseline,TOTAL,240390
35,scenario1,dblr,124855
35,scenario1,shore,207609
35,scenario1,cicon,156947
35,scenario1,crane,48431
35,scenario1,geese,5166
35,scenario1,TOTAL,274923
35,scenario2_alt,dblr,82032
35,scenario2_alt,shore,162413
35,scenario2_alt,cicon,101585
35,scenario2_alt,crane,53129
35,scenario2_alt,geese,3708
35,scenario2_alt,TOTAL,225437
35,scenario3_alt,dblr,122590
35,scenario3_alt,shore,200472
35,scenario3_alt,cicon,135416
35,scenario3_alt,crane,54785
35,scenario3_alt,geese,3697
35,scenario3_alt,TOTAL,265544
36,baseline,dblr,99686
36,baseline,shore,154421
36,baseline,cicon,218050
36,baseline,crane,49739
36,baseline,geese,20239
36,baseline,TOTAL,265099
36,scenario1,dblr,143360
36,scenario1,shore,189523
36,scenario1,cicon,260671
36,scenario1,crane,48512
36,scenario1,geese,21539
36,scenario1,TOTAL,306761
36,scenario2_alt,dblr,90348
36,scenario2_alt,shore,147868
36,scenario2_alt,cicon,200611
36,scenario2_alt,crane,57034
36,scenario2_alt,geese,29834
36,scenario2_alt,TOTAL,254832
36,scenario3_alt,dblr,134077
