n,scenario,spp,value
13,baseline,NUWO,16821
13,baseline,SOSP,1121651
13,baseline,SPTO,223294
13,baseline,YBCH,16833
13,baseline,YEWA,152730
13,baseline,TOTAL,1897466
13,scenario1,ATFL,113383
13,scenario1,BHGR,69446
13,scenario1,COYE,484377
13,scenario1,LAZB,485751
13,scenario1,NUWO,56806
13,scenario1,SOSP,1158478
13,scenario1,SPTO,276013
13,scenario1,YBCH,21876
13,scenario1,YEWA,142488
13,scenario1,TOTAL,1970103
13,scenario2_alt,ATFL,57796
13,scenario2_alt,BHGR,36825
13,scenario2_alt,COYE,426664
13,scenario2_alt,LAZB,484489
13,scenario2_alt,NUWO,12768
13,scenario2_alt,SOSP,1201124
13,scenario2_alt,SPTO,246042
13,scenario2_alt,YBCH,12196
13,scenario2_alt,YEWA,143192
13,scenario2_alt,TOTAL,1975858
13,scenario3_alt,ATFL,112951
13,scenario3_alt,BHGR,71867
13,scenario3_alt,COYE,464601
13,scenario3_alt,LAZB,485677
13,scenario3_alt,NUWO,54161
13,scenario3_alt,SOSP,1250482
13,scenario3_alt,SPTO,309835
13,scenario3_alt,YBCH,18185
13,scenario3_alt,YEWA,137015
13,scenario3_alt,TOTAL,2063637
14,baseline,ATFL,73833
14,baseline,BHGR,75571
14,baseline,COYE,418028
14,baseline,LAZB,2553
14,baseline,NUWO,29661
14,baseline,SOSP,1633066
14,baseline,SPTO,359912
14,baseline,YBCH,1056
14,baseline,YEWA,121357
14,baseline,TOTAL,2002325
14,scenario1,ATFL,102847
14,scenario1,BHGR,149978
14,scenario1,COYE,457398
14,scenario1,LAZB,1812
14,scenario1,NUWO,68439
14,scenario1,SOSP,1675033
14,scenario1,SPTO,445712
14,scenario1,YBCH,971
14,scenario1,YEWA,124795
14,scenario1,TOTAL,2124182
14,scenario2_alt,ATFL,62273
14,scenario2_alt,BHGR,61770
14,scenario2_alt,COYE,400318
14,scenario2_alt,LAZB,2487
14,scenario2_alt,NUWO,23986
14,scenario2_alt,SOSP,1764099
14,scenario2_alt,SPTO,426466
14,scenario2_alt,YBCH,922
14,scenario2_alt,YEWA,160918
14,scenario2_alt,TOTAL,2136894
14,scenario3_alt,ATFL,95717
14,scenario3_alt,BHGR,143804
14,scenario3_alt,COYE,441559
14,scenario3_alt,LAZB,1793
14,scenario3_alt,NUWO,64912
14,scenario3_alt,SOSP,1782239
14,scenario3_alt,SPTO,532902
14,scenario3_alt,YBCH,835
14,scenario3_alt,YEWA,160106
14,scenario3_alt,TOTAL,2233069
15,baseline,ATFL,40052
15,baseline,BHGR,33477
15,baseline,COYE,345192
15,baseline,LAZB,140030
15,baseline,NUWO,25296
15,baseline,SOSP,1831561
15,baseline,SPTO,547706
15,baseline,YBCH,2244
15,baseline,YEWA,155617
15,baseline,TOTAL,2311581
15,scenario1,ATFL,85198
15,scenario1,BHGR,64223
15,scenario1,COYE,390308
15,scenario1,LAZB,136655
15,scenario1,NUWO,71906
15,scenario1,SOSP,1794805
15,scenario1,SPTO,603438
15,scenario1,YBCH,17886
15,scenario1,YEWA,177326
15,scenario1,TOTAL,2352110
15,scenario2_alt,ATFL,33199
15,scenario2_alt,BHGR,27204
15,scenario2_alt,COYE,330660
15,scenario2_alt,LAZB,116951
15,scenario2_alt,NUWO,20983
15,scenario2_alt,SOSP,1817817
15,scenario2_alt,SPTO,717319
15,scenario2_alt,YBCH,1392
15,scenario2_alt,YEWA,196138
15,scenario2_alt,TOTAL,2365791
15,scenario3_alt,ATFL,83354
15,scenario3_alt,BHGR,62023
15,scenario3_alt,COYE,377173
15,scenario3_alt,LAZB,115595
15,scenario3_alt,NUWO,72109
15,scenario3_alt,SOSP,1770632
15,scenario3_alt,SPTO,754861
15,scenario3_alt,YBCH,17045
15,scenario3_alt,YEWA,212728
15,scenario3_alt,TOTAL,2386325
16,baseline,ATFL,48936
16,baseline,BHGR,27986
16,baseline,COYE,519036
16,baseline,LAZB,84
16,baseline,NUWO,27046
16,baseline,SOSP,1790647
16,baseline,SPTO,261928
16,baseline,YBCH,4794
16,baseline,YEWA,335514
16,baseline,TOTAL,2116941
16,scenario1,ATFL,102611
16,scenario1,BHGR,44591
16,scenario1,COYE,549354
16,scenario1,LAZB,509
16,scenario1,NUWO,59726
16,scenario1,SOSP,1745728
16,scenario1,SPTO,348260
16,scenario1,YBCH,4254
16,scenario1,YEWA,319488
16,scenario1,TOTAL,2144576
16,scenario2_alt,ATFL,41224
16,scenario2_alt,BHGR,29188
16,scenario2_alt,COYE,496108
16,scenario2_alt,LAZB,84
