scenario,spp,METRIC_SUBTYPE,METRIC,n,value
baseline,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,8,73896
baseline,BHGR,Riparian landbird habitat,Black-headed Grosbeak,8,63937
baseline,COYE,Riparian landbird habitat,Common Yellowthroat,8,470060
baseline,LAZB,Riparian landbird habitat,Lazuli Bunting,8,6379
baseline,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,8,13059
baseline,SOSP,Riparian landbird habitat,Song Sparrow,8,1296568
baseline,SPTO,Riparian landbird habitat,Spotted Towhee,8,488104
baseline,YBCH,Riparian landbird habitat,Yellow-breasted Chat,8,1025
baseline,YEWA,Riparian landbird habitat,Yellow Warbler,8,27830
baseline,TOTAL,Riparian landbird habitat,Total,8,1818874
scenario1_restoration,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,8,117630
scenario1_restoration,BHGR,Riparian landbird habitat,Black-headed Grosbeak,8,133446
scenario1_restoration,COYE,Riparian landbird habitat,Common Yellowthroat,8,524887
scenario1_restoration,LAZB,Riparian landbird habitat,Lazuli Bunting,8,10130
scenario1_restoration,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,8,36451
scenario1_restoration,SOSP,Riparian landbird habitat,Song Sparrow,8,1333447
scenario1_restoration,SPTO,Riparian landbird habitat,Spotted Towhee,8,538860
scenario1_restoration,YBCH,Riparian landbird habitat,Yellow-breasted Chat,8,1324
scenario1_restoration,YEWA,Riparian landbird habitat,Yellow Warbler,8,34389
scenario1_restoration,TOTAL,Riparian landbird habitat,Total,8,1911811
scenario2_perennialexpand_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,8,64522
scenario2_perennialexpand_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,8,56983
scenario2_perennialexpand_alt,COYE,Riparian landbird habitat,Common Yellowthroat,8,446942
scenario2_perennialexpand_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,8,6367
scenario2_perennialexpand_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,8,9735
scenario2_perennialexpand_alt,SOSP,Riparian landbird habitat,Song Sparrow,8,1282482
scenario2_perennialexpand_alt,SPTO,Riparian landbird habitat,Spotted Towhee,8,625571
scenario2_perennialexpand_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,8,594
scenario2_perennialexpand_alt,YEWA,Riparian landbird habitat,Yellow Warbler,8,26537
scenario2_perennialexpand_alt,TOTAL,Riparian landbird habitat,Total,8,1878218
scenario3_combo_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,8,114346
scenario3_combo_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,8,136118
scenario3_combo_alt,COYE,Riparian landbird habitat,Common Yellowthroat,8,497791
scenario3_combo_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,8,10150
scenario3_combo_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,8,30677
scenario3_combo_alt,SOSP,Riparian landbird habitat,Song Sparrow,8,1325707
scenario3_combo_alt,SPTO,Riparian landbird habitat,Spotted Towhee,8,677868
scenario3_combo_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,8,889
scenario3_combo_alt,YEWA,Riparian landbird habitat,Yellow Warbler,8,34448
scenario3_combo_alt,TOTAL,Riparian landbird habitat,Total,8,1968154
baseline,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,9,56762
baseline,BHGR,Riparian landbird habitat,Black-headed Grosbeak,9,43855
baseline,COYE,Riparian landbird habitat,Common Yellowthroat,9,349568
baseline,LAZB,Riparian landbird habitat,Lazuli Bunting,9,4637
baseline,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,9,18203
baseline,SOSP,Riparian landbird habitat,Song Sparrow,9,1301653
baseline,SPTO,Riparian landbird habitat,Spotted Towhee,9,508013
baseline,YBCH,Riparian landbird habitat,Yellow-breasted Chat,9,3880
baseline,YEWA,Riparian landbird habitat,Yellow Warbler,9,112853
baseline,TOTAL,Riparian landbird habitat,Total,9,1699169
scenario1_restoration,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,9,108500
scenario1_restoration,BHGR,Riparian landbird habitat,Black-headed Grosbeak,9,92516
scenario1_restoration,COYE,Riparian landbird habitat,Common Yellowthroat,9,396943
scenario1_restoration,LAZB,Riparian landbird habitat,Lazuli Bunting,9,7592
scenario1_restoration,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,9,58199
scenario1_restoration,SOSP,Riparian landbird habitat,Song Sparrow,9,1378919
