n,scenario,spp,value
29,baseline,divduck,137425
29,baseline,TOTAL,461512
29,scenario1,dblr,321785
29,scenario1,shore,166451
29,scenario1,cicon,115910
29,scenario1,crane,48534
29,scenario1,geese,346310
29,scenario1,divduck,166464
29,scenario1,TOTAL,491674
29,scenario2_alt,dblr,278912
29,scenario2_alt,shore,145457
29,scenario2_alt,cicon,111207
29,scenario2_alt,crane,54711
29,scenario2_alt,geese,369342
29,scenario2_alt,divduck,136893
29,scenario2_alt,TOTAL,466143
29,scenario3_alt,dblr,313823
29,scenario3_alt,shore,173995
29,scenario3_alt,cicon,140490
29,scenario3_alt,crane,49359
29,scenario3_alt,geese,386001
29,scenario3_alt,divduck,162073
29,scenario3_alt,TOTAL,494442
30,baseline,dblr,267852
30,baseline,shore,319146
30,baseline,cicon,766973
30,baseline,crane,28269
30,baseline,geese,89863
30,baseline,divduck,27703
30,baseline,TOTAL,810624
30,scenario1,dblr,302988
30,scenario1,shore,345468
30,scenario1,cicon,846258
30,scenario1,crane,26502
30,scenario1,geese,88198
30,scenario1,divduck,37692
30,scenario1,TOTAL,877074
30,scenario2_alt,dblr,275128
30,scenario2_alt,shore,328700
30,scenario2_alt,cicon,726786
30,scenario2_alt,crane,24740
30,scenario2_alt,geese,85785
30,scenario2_alt,divduck,35539
30,scenario2_alt,TOTAL,761217
30,scenario3_alt,dblr,309482
30,scenario3_alt,shore,360840
30,scenario3_alt,cicon,803467
30,scenario3_alt,crane,22420
30,scenario3_alt,geese,83045
30,scenario3_alt,divduck,37386
30,scenario3_alt,TOTAL,825427
31,baseline,dblr,246688
31,baseline,shore,230351
31,baseline,cicon,400797
31,baseline,crane,132913
31,baseline,geese,64383
31,baseline,divduck,86020
31,baseline,TOTAL,533914
31,scenario1,dblr,288312
31,scenario1,shore,245605
31,scenario1,cicon,446867
31,scenario1,crane,123823
31,scenario1,geese,57994
31,scenario1,divduck,109180
31,scenario1,TOTAL,576213
31,scenario2_alt,dblr,247652
31,scenario2_alt,shore,215770
31,scenario2_alt,cicon,429907
31,scenario2_alt,crane,126218
31,scenario2_alt,geese,70250
31,scenario2_alt,divduck,83149
31,scenario2_alt,TOTAL,527947
31,scenario3_alt,dblr,288786
31,scenario3_alt,shore,227491
31,scenario3_alt,cicon,474768
31,scenario3_alt,crane,115005
31,scenario3_alt,geese,64027
31,scenario3_alt,divduck,105962
31,scenario3_alt,TOTAL,568974
32,baseline,dblr,262189
32,baseline,shore,291187
32,baseline,cicon,427868
32,baseline,crane,35366
32,baseline,geese,151571
32,baseline,divduck,114746
32,baseline,TOTAL,544912
32,scenario1,dblr,308271
32,scenario1,shore,324817
32,scenario1,cicon,458441
32,scenario1,crane,33765
32,scenario1,geese,159502
32,scenario1,divduck,143846
32,scenario1,TOTAL,576126
32,scenario2_alt,dblr,263837
32,scenario2_alt,shore,326164
32,scenario2_alt,cicon,440178
32,scenario2_alt,crane,31206
32,scenario2_alt,geese,153528
32,scenario2_alt,divduck,111353
32,scenario2_alt,TOTAL,530316
32,scenario3_alt,dblr,309790
32,scenario3_alt,shore,359799
32,scenario3_alt,cicon,469683
32,scenario3_alt,crane,29520
32,scenario3_alt,geese,160634
32,scenario3_alt,divduck,139895
32,scenario3_alt,TOTAL,560377
33,baseline,dblr,294285
33,baseline,shore,244245
33,baseline,cicon,471061
33,baseline,crane,124028
33,baseline,geese,157192
33,baseline,divduck,133214
33,baseline,TOTAL,561608
33,scenario1,dblr,332086
33,scenario1,shore,270681
33,scenario1,cicon,454319
33,scenario1,crane,114806
33,scenario1,geese,165544
33,scenario1,divduck,173229
33,scenario1,TOTAL,578995
33,scenario2_alt,dblr,289244
33,scenario2_alt,shore,259506
33,scenario2_alt,cicon,470114
33,scenario2_alt,crane,115912
33,scenario2_alt,geese,167984
33,scenario2_alt,divduck,132513
33,scenario2_alt,TOTAL,545135
33,scenario3_alt,dblr,327118
33,scenario3_alt,shore,292501
33,scenario3_alt,cicon,453496
33,scenario3_alt,crane,106168
33,scenario3_alt,geese,176029
33,scenario3_alt,divduck,172204
