scenario,county,METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,UNIT,SCORE_TOTAL
baseline,Sacramento,Biodiversity Support,species distribution: waterbird_fall,Cranes,ha,333762.6273296256
baseline,San Joaquin,Biodiversity Support,species distribution: waterbird_fall,Cranes,ha,538220.7565498202
baseline,Solano,Biodiversity Support,species distribution: waterbird_fall,Cranes,ha,41673.70535342715
baseline,Yolo,Biodiversity Support,species distribution: waterbird_fall,Cranes,ha,74185.69325537473
baseline,Contra Costa & Alameda,Biodiversity Support,species distribution: waterbird_fall,Dabbling Ducks,ha,61968.4085243692
baseline,Sacramento,Biodiversity Support,species distribution: waterbird_fall,Dabbling Ducks,ha,264053.73226019245
baseline,San Joaquin,Biodiversity Support,species distribution: waterbird_fall,Dabbling Ducks,ha,181116.33923940567
baseline,Solano,Biodiversity Support,species distribution: waterbird_fall,Dabbling Ducks,ha,258598.32519744008
baseline,Yolo,Biodiversity Support,species distribution: waterbird_fall,Dabbling Ducks,ha,568574.3937780667
baseline,Contra Costa & Alameda,Biodiversity Support,species distribution: waterbird_fall,Geese,ha,8183.967499864391
baseline,Sacramento,Biodiversity Support,species distribution: waterbird_fall,Geese,ha,155511.6040085132
baseline,San Joaquin,Biodiversity Support,species distribution: waterbird_fall,Geese,ha,416640.6822699666
baseline,Solano,Biodiversity Support,species distribution: waterbird_fall,Geese,ha,65928.87616327757
baseline,Yolo,Biodiversity Support,species distribution: waterbird_fall,Geese,ha,294361.6916096588
baseline,Contra Costa & Alameda,Biodiversity Support,species distribution: waterbird_fall,Shorebirds,ha,160536.4643637712
baseline,Sacramento,Biodiversity Support,species distribution: waterbird_fall,Shorebirds,ha,335656.5229641481
baseline,San Joaquin,Biodiversity Support,species distribution: waterbird_fall,Shorebirds,ha,411014.9118530875
baseline,Solano,Biodiversity Support,species distribution: waterbird_fall,Shorebirds,ha,419805.04271843366
baseline,Yolo,Biodiversity Support,species distribution: waterbird_fall,Shorebirds,ha,679777.8887270846
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,species distribution: waterbird_fall,Herons/Egrets,ha,444893.60607398883
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: waterbird_fall,Herons/Egrets,ha,838740.09991818
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: waterbird_fall,Herons/Egrets,ha,1297887.3875690831
scenario1_restoration,Solano,Biodiversity Support,species distribution: waterbird_fall,Herons/Egrets,ha,1079963.3977042304
scenario1_restoration,Yolo,Biodiversity Support,species distribution: waterbird_fall,Herons/Egrets,ha,1037826.9641763634
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,species distribution: waterbird_fall,Cranes,ha,40031.19593645291
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: waterbird_fall,Cranes,ha,348231.864624367
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: waterbird_fall,Cranes,ha,529381.4037323231
scenario1_restoration,Solano,Biodiversity Support,species distribution: waterbird_fall,Cranes,ha,44357.9477703658
