scenario,ZONE,CODE_NAME,LABEL,SCENARIO,BASELINE,net_change,change_prop,change_pct
scenario1_restoration,Yolo,PASTURE_ALFALFA,Alfalfa,857.88,995.49,-137.61,-0.13823343278184613,-13.823343278184613
scenario1_restoration,Yolo,PASTURE_OTHER,Other Pasture,3069.3599999999997,3840.0299999999997,-770.6700000000001,-0.2006937445801205,-20.06937445801205
scenario1_restoration,Yolo,RICE,Rice,785.88,1090.71,-304.83000000000004,-0.279478504827131,-27.9478504827131
scenario1_restoration,Yolo,RIPARIAN,Riparian,2219.85,1135.17,1084.6799999999998,0.9555220803932448,95.55220803932448
scenario1_restoration,Yolo,RIPARIAN_FOREST_MIXED,Riparian - Mixed Forest,131.76,105.66,26.099999999999994,0.2470187393526405,24.70187393526405
scenario1_restoration,Yolo,RIPARIAN_FOREST_POFR,Riparian - Cottonwood,326.34,317.07,9.269999999999982,0.029236446210615896,2.9236446210615896
scenario1_restoration,Yolo,RIPARIAN_FOREST_QULO,Riparian - Valley Oak,1437.03,394.74,1042.29,2.6404468764249884,264.04468764249884
scenario1_restoration,Yolo,RIPARIAN_FOREST_SALIX,Riparian - Willow,146.88,145.44,1.4399999999999977,0.009900990099009885,0.9900990099009885
scenario1_restoration,Yolo,RIPARIAN_SCRUB_INTRO,Riparian - Introduced Scrub,25.2,25.2,0,0,0
scenario1_restoration,Yolo,RIPARIAN_SCRUB_MIXED,Riparian - Mixed Shrub,5.13,5.13,0,0,0
scenario1_restoration,Yolo,RIPARIAN_SCRUB_SALIX,Riparian - Willow Shrub,147.51,141.93,5.579999999999984,0.039315155358275095,3.9315155358275096
scenario1_restoration,Yolo,ROW,Row Crops,1276.83,1440.6299999999999,-163.79999999999995,-0.11370025613793963,-11.370025613793963
scenario1_restoration,Yolo,SCRUB,Scrub,0,0,0,NA,NA
scenario1_restoration,Yolo,URBAN,Urban,3263.31,3263.31,0,0,0
scenario1_restoration,Yolo,VINEYARD,Vineyard,4719.87,4862.25,-142.3800000000001,-0.029282739472466474,-2.9282739472466472
scenario1_restoration,Yolo,WATER,Water,1752.12,1752.12,0,0,0
scenario1_restoration,Yolo,WETLAND_MANAGED,Managed Wetland,5574.69,3329.0099999999998,2245.68,0.6745789288707453,67.45789288707454
scenario1_restoration,Yolo,WETLAND_MANAGED_PERENNIAL,Managed Wetland - Perennial,104.49,104.49,0,0,0
scenario1_restoration,Yolo,WETLAND_MANAGED_SEASONAL,Managed Wetland - Seasonal,5470.2,3224.52,2245.68,0.6964385396896282,69.64385396896282
scenario1_restoration,Yolo,WETLAND_OTHER,Other Wetland,2059.65,2341.71,-282.05999999999995,-0.12045044006303084,-12.045044006303083
scenario1_restoration,Yolo,WETLAND_TIDAL,Tidal Wetland,616.14,616.14,0,0,0
scenario1_restoration,Yolo,WOODLAND,Woodland,54.54,58.5,-3.960000000000001,-0.0676923076923077,-6.76923076923077
scenario2_perennialexpand,Contra Costa & Alameda,BARREN,Barren,17.009999999999998,17.009999999999998,0,0,0
scenario2_perennialexpand,Contra Costa & Alameda,FIELD_CORN,Corn,4271.58,4278.87,-7.289999999999964,-0.001703720842184961,-0.1703720842184961
scenario2_perennialexpand,Contra Costa & Alameda,FIELD_OTHER,Other Field Crops,522.36,522.36,0,0,0
scenario2_perennialexpand,Contra Costa & Alameda,GRAIN&HAY_OTHER,Other Grains,665.37,665.4599999999999,-0.08999999999991815,-1.3524479307534362e-4,-0.013524479307534362
scenario2_perennialexpand,Contra Costa & Alameda,GRAIN&HAY_WHEAT,Wheat,1102.23,1102.23,0,0,0
