scenario,ZONE,METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,UNIT,SCORE_TOTAL
baseline_win,San Joaquin,Biodiversity Support,Waterbird habitat,Cranes (winter),ha,1422966.6666666667
baseline_win,Solano,Biodiversity Support,Waterbird habitat,Cranes (winter),ha,0
baseline_win,Yolo,Biodiversity Support,Waterbird habitat,Cranes (winter),ha,0
baseline_win,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Dabbling Ducks (winter),ha,290933.3333333334
baseline_win,Sacramento,Biodiversity Support,Waterbird habitat,Dabbling Ducks (winter),ha,443822.22222222225
baseline_win,San Joaquin,Biodiversity Support,Waterbird habitat,Dabbling Ducks (winter),ha,1704711.1111111112
baseline_win,Solano,Biodiversity Support,Waterbird habitat,Dabbling Ducks (winter),ha,203922.22222222222
baseline_win,Yolo,Biodiversity Support,Waterbird habitat,Dabbling Ducks (winter),ha,586311.1111111111
baseline_win,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),ha,113266.66666666667
baseline_win,Sacramento,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),ha,117633.33333333334
baseline_win,San Joaquin,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),ha,435044.44444444444
baseline_win,Solano,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),ha,93911.11111111111
baseline_win,Yolo,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),ha,377411.1111111111
baseline_win,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Geese (winter),ha,60788.88888888889
baseline_win,Sacramento,Biodiversity Support,Waterbird habitat,Geese (winter),ha,669511.1111111111
baseline_win,San Joaquin,Biodiversity Support,Waterbird habitat,Geese (winter),ha,1406277.7777777778
baseline_win,Solano,Biodiversity Support,Waterbird habitat,Geese (winter),ha,8300
baseline_win,Yolo,Biodiversity Support,Waterbird habitat,Geese (winter),ha,126777.77777777778
baseline_win,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Shorebirds (winter),ha,216844.44444444444
baseline_win,Sacramento,Biodiversity Support,Waterbird habitat,Shorebirds (winter),ha,501033.3333333334
baseline_win,San Joaquin,Biodiversity Support,Waterbird habitat,Shorebirds (winter),ha,1528500
baseline_win,Solano,Biodiversity Support,Waterbird habitat,Shorebirds (winter),ha,197644.44444444444
baseline_win,Yolo,Biodiversity Support,Waterbird habitat,Shorebirds (winter),ha,390488.8888888889
scenario1_restoration_win,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),ha,405900
scenario1_restoration_win,Sacramento,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),ha,727388.8888888889
scenario1_restoration_win,San Joaquin,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),ha,2570455.5555555555
scenario1_restoration_win,Solano,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),ha,631133.3333333334
scenario1_restoration_win,Yolo,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),ha,977633.3333333334
scenario1_restoration_win,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Cranes (winter),ha,50088.88888888889
scenario1_restoration_win,Sacramento,Biodiversity Support,Waterbird habitat,Cranes (winter),ha,290855.55555555556
scenario1_restoration_win,San Joaquin,Biodiversity Support,Waterbird habitat,Cranes (winter),ha,1424711.1111111112
scenario1_restoration_win,Solano,Biodiversity Support,Waterbird habitat,Cranes (winter),ha,0
scenario1_restoration_win,Yolo,Biodiversity Support,Waterbird habitat,Cranes (winter),ha,0
