METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,CODE_NAME,SCORE_MEAN,SCORE_SE,SCORE_MIN,SCORE_MAX,UNIT
biodiversity,avian conservation contribution,Breeding Waterbirds_Other Waterbirds,IDLE,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Other Waterbirds,URBAN,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Grassland,WOODLAND,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Oak Savannah,WOODLAND,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Riparian,WOODLAND,5,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Waterfowl,WOODLAND,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Shorebirds,WOODLAND,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Other Waterbirds,WOODLAND,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Waterfowl,WOODLAND,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Shorebirds,WOODLAND,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Other Waterbirds,WOODLAND,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Grassland,SCRUB,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Oak Savannah,SCRUB,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Riparian,SCRUB,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Waterfowl,SCRUB,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Shorebirds,SCRUB,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Other Waterbirds,SCRUB,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Waterfowl,SCRUB,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Shorebirds,SCRUB,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Other Waterbirds,SCRUB,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Grassland,RIPARIAN_FOREST_POFR,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Grassland,RIPARIAN_FOREST_QULO,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Grassland,RIPARIAN_FOREST_SALIX,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Grassland,RIPARIAN_FOREST_MIXED,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Grassland,RIPARIAN_SCRUB_INTRO,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Grassland,RIPARIAN_SCRUB_SALIX,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Grassland,RIPARIAN_SCRUB_MIXED,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Oak Savannah,RIPARIAN_FOREST_POFR,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Oak Savannah,RIPARIAN_FOREST_QULO,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Oak Savannah,RIPARIAN_FOREST_SALIX,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Oak Savannah,RIPARIAN_FOREST_MIXED,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Oak Savannah,RIPARIAN_SCRUB_INTRO,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Oak Savannah,RIPARIAN_SCRUB_SALIX,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Oak Savannah,RIPARIAN_SCRUB_MIXED,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Riparian,RIPARIAN_FOREST_POFR,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Riparian,RIPARIAN_FOREST_QULO,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Riparian,RIPARIAN_FOREST_SALIX,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Riparian,RIPARIAN_FOREST_MIXED,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Riparian,RIPARIAN_SCRUB_INTRO,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Riparian,RIPARIAN_SCRUB_SALIX,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Riparian,RIPARIAN_SCRUB_MIXED,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Waterfowl,RIPARIAN_FOREST_POFR,5,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Waterfowl,RIPARIAN_FOREST_QULO,5,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Waterfowl,RIPARIAN_FOREST_SALIX,5,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Waterfowl,RIPARIAN_FOREST_MIXED,5,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Waterfowl,RIPARIAN_SCRUB_INTRO,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Waterfowl,RIPARIAN_SCRUB_SALIX,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Waterfowl,RIPARIAN_SCRUB_MIXED,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Shorebirds,RIPARIAN_FOREST_POFR,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Shorebirds,RIPARIAN_FOREST_QULO,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Shorebirds,RIPARIAN_FOREST_SALIX,0,NA,NA,NA,ranking
